tracking_id	SANO_0	SANO_1	SANO_2	CANCER_0	CANCER_1	CANCER_2
MSTRG.1	0	0	0.0117003	0	0	0
MSTRG.10	1.00973	0.899781	0.432025	0.400071	3.30637	4.54711
MSTRG.100	0.119747	0.794857	0.811656	1.84011	0.141441	0.149644
MSTRG.1000	2.67267	3.27955	2.22344	2.42746	2.45164	2.04795
MSTRG.10000	5.14383	8.33402	7.00903	6.67157	5.7516	10.2441
MSTRG.10001	0	0	0	22.8502	0	7.23389
MSTRG.10002	5.08763	4.53751	4.41425	5.16418	4.12642	13.0336
MSTRG.10003	0	0	0.418316	0	0	8.54977
MSTRG.10004	0	0	0	0	0	9.92905
MSTRG.10005	0.327298	0.0670498	0.0114303	2.42909	6.29579	27.0385
MSTRG.10006	1.11565	2.92025	2.54513	1.80413	2.72082	3.46205
MSTRG.10007	0.84548	1.47238	0.798106	1.9104	1.29738	2.64045
MSTRG.10008	1.75183	1.29802	1.71379	1.35834	2.05197	6.20276
MSTRG.10009	1.48672	2.52266	2.06328	2.60658	3.88833	6.78301
MSTRG.1001	9.79342	13.858	11.0678	6.44417	4.89132	5.78561
MSTRG.10010	6.76507	4.53949	8.60502	3.40991	5.06857	1.69831
MSTRG.10011	0	0.0114703	0.187444	0.314466	0.833325	0.127672
MSTRG.10012	17.9445	25.1574	22.9061	22.881	18.4141	13.2905
MSTRG.10013	12.2252	10.2453	12.4875	10.2439	7.80857	15.3723
MSTRG.10014	30.0783	33.1004	30.3788	34.8509	14.183	11.3271
MSTRG.10015	13.1251	9.70109	14.4171	15.3153	14.3666	10.5523
MSTRG.10016	31.3493	29.3534	31.7904	28.5587	26.0315	42.7835
MSTRG.10017	8.35243	6.68126	9.53369	5.73263	4.92416	4.68259
MSTRG.10018	30.4271	35.0515	36.6081	37.874	41.9993	79.3048
MSTRG.10019	2.62887	1.25745	1.06443	3.26906	0.440637	0.766993
MSTRG.1002	87.2473	53.963	70.7084	56.0382	66.1981	68.6768
MSTRG.10020	6.11259	3.20039	3.53972	3.22113	3.34081	14.9225
MSTRG.10021	9.57475	24.8765	27.2725	17.4356	12.7324	23.0963
MSTRG.10022	7.74422	11.0715	7.72473	13.1776	4.09446	5.84618
MSTRG.10023	3.15438	0.93663	0.566794	2.87612	1.29196	4.34417
MSTRG.10024	10.8685	15.245	13.5528	20.5889	12.624	23.8412
MSTRG.10025	0.556165	0.642632	0.891913	0.917366	0.709479	0.476586
MSTRG.10026	2.81287	2.37096	1.68477	1.52957	5.98046	2.04453
